srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
175.45.176.1,0,149.171.126.12,0,unas,INT,4e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930778,1421930778,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,6,6,4,5,4,4,4, Fuzzers,1
175.45.176.0,32212,149.171.126.10,111,tcp,FIN,0.669677,564,354,254,252,2,1,-,6068.597168,3703.277832,10,8,255,255,2019161724,3127741283,56,44,0,0,5462.891399,135.863359,1421929125,1421929126,73.192556,94.622,0.051762,0.007312,0.04445,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931225,1421931225,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,7,7,7,3,7,Generic,1
59.166.0.7,34538,149.171.126.2,49146,tcp,FIN,0.017003,2766,28048,31,29,7,16,-,1272246.125,12910192.0,44,46,255,255,2875138983,730073769,63,610,0,0,24.692203,23.321305,1421951783,1421951783,0.386791,0.363467,0.000818,0.000636,0.000182,0,0,0,0,0,5,6,1,3,1,1,1,,0
59.166.0.2,53286,149.171.126.5,80,tcp,FIN,1.004701,1684,10168,31,29,3,5,http,12453.45606,76472.5,14,18,255,255,4060018151,1911586223,120,565,1,0,8765.949638,7675.240865,1421931688,1421931689,77.256618,59.067233,0.000695,0.000554,0.000141,0,0,1,0,0,2,1,2,1,1,1,1,,0
59.166.0.6,8681,149.171.126.5,53,udp,CON,0.001138,130,162,31,29,0,0,dns,456941.9688,569420.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421944843,1421944843,0.01,0.009,0.0,0.0,0.0,0,0,0,0,0,1,5,4,9,1,1,1,,0
59.166.0.7,25226,149.171.126.1,23343,tcp,FIN,0.039909,2854,31142,31,29,7,17,-,559673.25,6112706.0,46,48,255,255,1938676889,4119462131,62,649,0,0,56.549009,51.787137,1421952096,1421952096,0.879467,0.760298,0.005112,0.004165,0.000947,0,0,0,0,0,9,8,3,4,1,1,1,,0
59.166.0.9,14386,149.171.126.1,40476,tcp,FIN,0.256537,424,8824,31,29,1,4,ftp-data,11569.48145,252252.125,8,12,255,255,1967469327,76751236,53,735,0,0,2270.360569,1788.245543,1421952379,1421952380,36.596715,23.275545,0.00064,0.000503,0.000137,0,0,0,0,0,3,10,5,5,1,1,3,,0
59.166.0.0,7819,149.171.126.2,6881,tcp,FIN,0.018185,1540,1644,31,29,4,4,-,635248.8125,683200.4375,16,18,255,255,4093712730,4098932356,96,91,0,0,72.41372,2.054266,1421953660,1421953660,1.191867,1.042412,0.000578,0.00046,0.000118,0,0,0,0,0,14,8,9,16,12,1,6,,0
175.45.176.1,49278,149.171.126.15,80,tcp,FIN,0.484581,1306,268,254,252,2,1,http,19414.71094,3698.040283,10,6,255,255,223790552,2542545013,131,45,1,0,2217.789339,111.025695,1421931887,1421931887,42.936333,86.931,0.096433,0.049923,0.04651,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,0,149.171.126.12,0,pgm,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930714,1421930714,0.008,0.0,0.0,0.0,0.0,0,2,0,0,0,14,13,4,11,4,4,4,Analysis,1
59.166.0.1,3302,149.171.126.8,52985,udp,CON,0.175199,528,304,31,29,0,0,-,18082.29492,10411.01856,4,4,0,0,0,0,132,76,0,0,77.777977,10.844426,1421930578,1421930578,55.001332,7.678667,0.0,0.0,0.0,0,0,0,0,0,3,12,3,3,1,1,1,,0
59.166.0.5,64354,149.171.126.1,18465,tcp,FIN,0.007927,2230,13358,31,29,7,11,-,2184937.75,13106598.0,34,36,255,255,1365129864,1365443252,66,371,0,0,13.430467,12.294605,1421948036,1421948036,0.230818,0.2082,0.000783,0.000629,0.000154,0,0,0,0,0,11,4,3,2,1,1,1,,0
175.45.176.1,64021,149.171.126.11,179,tcp,FIN,0.411386,554,268,254,252,2,1,-,9703.78125,4356.006348,10,6,255,255,2006234636,2266071607,55,45,0,0,2296.355669,93.914531,1421928719,1421928719,45.618889,64.653398,0.153488,0.088116,0.065372,0,1,0,0,0,13,7,1,3,1,1,1, Fuzzers,1
59.166.0.0,20086,149.171.126.2,53,udp,CON,0.001038,132,164,31,29,0,0,dns,508670.5313,631984.5625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421948891,1421948891,0.01,0.008,0.0,0.0,0.0,0,0,0,0,0,1,3,2,8,1,1,1,,0
175.45.176.0,54273,149.171.126.15,445,tcp,FIN,1.55584,994,830,254,252,3,2,-,4689.428223,3841.011963,12,10,255,255,1844101765,2562129236,83,83,0,0,7628.670167,261.827391,1421928044,1421928045,138.765182,161.523562,0.171152,0.102126,0.069026,0,1,0,0,0,3,3,2,1,1,1,1, Fuzzers,1
175.45.176.1,46974,149.171.126.18,143,tcp,FIN,1.135332,1338,68562,62,252,6,32,-,9068.712891,476012.3125,26,68,255,255,2692471376,1933604590,51,1008,0,0,2282.002593,1397.483358,1421929193,1421929195,45.413281,16.678329,0.065338,0.01719,0.048148,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,60597,149.171.126.18,520,udp,INT,3e-06,104,0,254,0,0,0,-,138666656.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1421933076,1421933076,0.003,0.0,0.0,0.0,0.0,0,2,0,0,0,3,6,7,1,1,1,1, Fuzzers,1
59.166.0.8,33210,149.171.126.1,5190,tcp,FIN,0.00434,1064,2260,31,29,4,4,-,1799078.375,3819354.75,12,12,255,255,487847259,2637751180,89,188,0,0,18.330846,0.400228,1421939874,1421939874,0.362091,0.335273,0.000844,0.000641,0.000203,0,0,0,0,0,6,4,3,2,1,1,1,,0
59.166.0.6,46729,149.171.126.5,20486,tcp,FIN,0.053973,3926,55114,31,29,7,27,-,573175.5,8049061.5,66,68,255,255,3086712351,937468567,59,811,0,0,53.437201,51.474098,1421931511,1421931511,0.825185,0.795403,0.000822,0.00067,0.000152,0,0,0,0,0,6,1,2,5,1,1,1,,0
175.45.176.3,62785,149.171.126.10,998,tcp,FIN,1.150367,576,268,254,252,2,1,-,3609.282959,1557.763672,10,6,255,255,2219619620,3003001379,58,45,0,0,8118.701159,372.271469,1421933357,1421933358,123.830222,212.376594,0.130631,0.088477,0.042154,0,1,0,0,0,9,2,1,4,1,1,1,Exploits,1
59.166.0.5,15348,149.171.126.8,80,tcp,FIN,1.169652,1580,10168,31,29,3,5,http,9910.640625,65687.91406,12,18,255,255,252556743,253845631,132,565,1,3924,10943.24799,8811.7001,1421930507,1421930508,106.298817,68.771527,0.00068,0.000533,0.000147,0,0,1,0,0,2,1,6,1,1,1,1,,0
175.45.176.3,14663,149.171.126.14,179,tcp,FIN,0.566395,534,354,254,252,2,1,-,6793.845703,4378.569824,10,8,255,255,2462884594,2763646415,53,44,0,0,3933.996174,119.96018,1421931016,1421931017,62.932778,67.343711,0.128795,0.068201,0.060594,0,1,0,0,0,2,2,1,1,1,1,1, Fuzzers,1
175.45.176.0,24397,149.171.126.10,39883,udp,INT,1.1e-05,194,0,254,0,0,0,-,70545456.0,0.0,2,0,0,0,0,0,97,0,0,0,0.0,0.0,1421933785,1421933785,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,Shellcode,1
59.166.0.1,54225,149.171.126.0,21,tcp,FIN,0.021965,2934,3740,31,29,11,15,ftp,1048213.0,1337036.125,52,54,255,255,1091205461,3241831106,56,69,0,0,29.517937,0.705206,1421954289,1421954289,0.424176,0.404755,0.000656,0.000505,0.000151,0,0,0,1,1,1,1,4,12,1,1,4,,0
59.166.0.3,56294,149.171.126.3,80,tcp,FIN,1.500862,1684,10168,31,29,3,5,http,8336.542969,51191.91406,14,18,255,255,402841900,2585899572,120,565,1,3924,11264.94949,9858.003737,1421936041,1421936042,115.425308,88.253588,0.000717,0.000547,0.00017,0,0,1,0,0,3,2,5,1,1,1,1,,0
59.166.0.3,26382,149.171.126.6,80,tcp,FIN,1.184113,1684,10168,31,29,3,5,http,10566.55859,64885.69922,14,18,255,255,3809403017,1665065351,120,565,1,3924,9079.48048,7949.894906,1421946698,1421946699,91.052536,69.622588,0.000668,0.000522,0.000146,0,0,1,0,0,3,5,2,4,1,1,1,,0
59.166.0.9,40326,149.171.126.0,11204,tcp,FIN,0.018085,2854,31444,31,29,7,17,-,1235056.75,13619685.0,46,48,255,255,731423425,731775918,62,655,0,0,22.608122,21.570238,1421953791,1421953791,0.3944,0.370851,0.000783,0.000645,0.000138,0,0,0,0,0,9,6,2,7,1,1,1,,0
175.45.176.3,37890,149.171.126.18,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421932094,1421932094,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,5,1,4,2,1,1,1,Reconnaissance,1
59.166.0.6,1378,149.171.126.0,64006,udp,CON,0.00179,544,304,31,29,0,0,-,1823463.625,1018994.438,4,4,0,0,0,0,136,76,0,0,0.630268,0.334938,1421928743,1421928743,0.449667,0.242333,0.0,0.0,0.0,0,0,0,0,0,7,7,8,4,1,1,3,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932621,1421932621,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,3,4,3,3,3,Generic,1
59.166.0.8,45102,149.171.126.9,143,tcp,FIN,2.133872,7814,15688,31,29,30,32,-,29055.16406,58350.26563,122,126,255,255,2746815973,2750212619,64,125,0,0,1071.492773,1055.711963,1421941381,1421941384,17.632406,17.066569,0.000701,0.000546,0.000155,0,0,0,0,0,1,8,6,2,1,1,1,,0
175.45.176.1,0,149.171.126.12,0,unas,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930755,1421930755,0.002,0.0,0.0,0.0,0.0,0,2,0,0,0,15,15,4,8,2,2,3,Exploits,1
175.45.176.1,0,149.171.126.12,0,fire,INT,3e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930720,1421930720,0.007,0.0,0.0,0.0,0.0,0,2,0,0,0,13,11,7,10,6,6,7, Fuzzers,1
175.45.176.0,35870,149.171.126.10,111,tcp,FIN,0.986559,564,354,254,252,2,1,-,4119.368652,2513.787842,10,8,255,255,87025960,2911294219,56,44,0,0,6909.203661,170.125422,1421931790,1421931791,109.617667,115.007711,0.129656,0.079373,0.050283,0,1,0,0,0,3,3,2,3,1,1,2,Reconnaissance,1
175.45.176.2,14840,149.171.126.14,111,tcp,FIN,1.230228,564,354,254,252,2,1,-,3303.452881,2015.886597,10,8,255,255,788612754,5980488,56,44,0,0,8481.203572,223.604547,1421933970,1421933971,131.055,163.73,0.163419,0.084097,0.079322,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,58927,149.171.126.15,111,tcp,FIN,0.982232,564,354,254,252,2,1,-,4137.515625,2524.861816,10,8,255,255,3412192520,2297076217,56,44,0,0,8073.931089,194.040109,1421928704,1421928705,105.803222,134.554,0.099017,0.040347,0.05867,0,1,0,0,0,11,1,1,2,1,1,1,Reconnaissance,1
59.166.0.4,18802,149.171.126.3,15249,tcp,FIN,0.051617,3926,56628,31,29,7,27,-,599337.4375,8647694.0,66,68,255,255,3044426504,910441062,59,833,0,0,45.922697,42.650166,1421948519,1421948519,0.789215,0.724821,0.003246,0.003051,0.000195,0,0,0,0,0,4,5,8,9,1,1,6,,0
175.45.176.1,51307,149.171.126.16,161,udp,INT,8e-06,138,0,254,0,0,0,snmp,69000000.0,0.0,2,0,0,0,0,0,69,0,0,0,0.0,0.0,1421928526,1421928526,0.008,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
59.166.0.2,19301,149.171.126.2,80,tcp,FIN,1.006882,1684,10168,31,29,3,5,http,12426.48145,76306.85938,14,18,255,255,4199204167,4200251952,120,565,1,3924,8765.469852,7675.733974,1421936258,1421936259,77.424615,59.201,0.000574,0.00046,0.000114,0,0,1,0,0,1,1,2,1,1,1,1,,0
175.45.176.2,10925,149.171.126.14,110,tcp,FIN,1.592957,1026,26748,62,252,7,16,-,4921.664551,130599.8828,22,36,255,255,3914276399,2088703984,47,743,0,0,3899.677565,3062.510834,1421933518,1421933520,75.855094,43.876913,0.152397,0.056478,0.095919,0,1,0,0,0,3,5,1,1,1,1,1,Exploits,1
59.166.0.9,55046,149.171.126.7,25564,tcp,FIN,0.02546,2958,32650,31,29,7,18,-,910290.6875,10054046.0,48,50,255,255,678880499,695025633,62,653,0,0,33.230255,32.639626,1421945025,1421945025,0.534596,0.519167,0.000679,0.000536,0.000143,0,0,0,0,0,6,8,10,6,4,4,4,,0
175.45.176.1,34826,149.171.126.13,179,tcp,FIN,0.354291,892,268,254,252,2,1,-,18131.98828,5057.989258,10,6,255,255,3760237340,2605443281,89,45,0,0,2130.323262,99.486453,1421931118,1421931118,38.399778,58.127199,0.117658,0.063645,0.054013,0,1,0,0,0,9,8,2,4,2,1,2, Fuzzers,1
59.166.0.7,31789,149.171.126.1,29607,udp,CON,0.001802,528,304,31,29,0,0,-,1758046.625,1012208.688,4,4,0,0,0,0,132,76,0,0,0.634747,0.317264,1421933275,1421933275,0.454333,0.229333,0.0,0.0,0.0,0,0,0,0,0,13,14,4,8,1,1,3,,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933701,1421933701,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,4,5,4,4,4,Generic,1
175.45.176.1,18800,149.171.126.15,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927713,1421927713,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,2,2,1,1,2,Reconnaissance,1
59.166.0.3,30674,149.171.126.0,51571,tcp,FIN,0.058326,3614,44406,31,29,7,24,-,487467.0,5992525.0,60,62,255,255,3831228862,1686144828,60,716,0,0,65.642227,63.95971,1421936702,1421936702,0.981898,0.946721,0.000698,0.000565,0.000133,0,0,0,0,0,5,7,3,2,1,1,1,,0
59.166.0.7,48563,149.171.126.9,49347,tcp,FIN,0.005029,4104,2456,31,29,7,7,-,6165838.5,3690594.75,18,18,255,255,1495436289,1498726967,228,136,0,0,13.605293,0.342436,1421931139,1421931139,0.277059,0.262529,0.00071,0.000561,0.000149,0,0,0,0,0,5,5,5,3,1,1,3,,0
175.45.176.3,45567,149.171.126.15,25,tcp,FIN,0.898902,56750,2072,62,252,27,8,smtp,496650.3438,17737.19531,60,26,255,255,3048638986,3000425387,946,80,0,0,1156.550748,43.009711,1421929477,1421929478,15.235627,35.695398,0.049122,0.006001,0.043121,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,0,149.171.126.12,0,st2,INT,1.009718,360,0,254,0,0,0,-,2139.211182,0.0,4,0,0,0,0,0,90,0,0,0,475.973594,0.0,1421930622,1421930623,336.572656,0.0,0.0,0.0,0.0,0,2,0,0,0,3,2,2,2,2,2,2,DoS,1
59.166.0.2,3123,149.171.126.3,143,tcp,FIN,2.98848,7808,15114,31,29,30,32,-,20730.26953,40140.80469,122,126,255,255,3286402551,3304843428,64,120,0,0,1504.449838,1485.335795,1421945123,1421945126,24.69514,23.903824,0.00063,0.000495,0.000135,0,0,0,0,0,10,10,11,11,6,6,6,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932794,1421932794,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,3,4,3,3,3,Generic,1
59.166.0.9,62094,149.171.126.0,22876,tcp,FIN,0.05408,3672,2560,31,29,7,7,-,513017.7813,359763.3125,18,20,255,255,608098511,611274790,204,128,0,0,358.261355,10.093531,1421935551,1421935551,3.161706,2.820579,0.001061,0.000485,0.000576,0,0,0,0,0,9,16,7,8,1,1,3,,0
59.166.0.7,9570,149.171.126.9,53,udp,CON,0.001079,130,162,31,29,0,0,dns,481927.7188,600556.125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421950135,1421950135,0.01,0.002,0.0,0.0,0.0,0,0,0,0,0,3,2,6,3,1,1,1,,0
59.166.0.7,26164,149.171.126.5,37222,tcp,FIN,0.016955,2974,30516,31,29,7,18,-,1374461.875,14110764.0,48,50,255,255,3851145183,3851457985,62,610,0,0,19.752827,19.547903,1421949816,1421949816,0.353957,0.334122,0.000736,0.000573,0.000163,0,0,0,0,0,7,4,5,4,1,1,1,,0
175.45.176.2,54534,149.171.126.16,80,tcp,FIN,0.213645,830,7314,62,252,2,4,-,27971.63477,251070.7031,10,12,255,255,644504385,4256584513,83,610,0,0,1204.385681,1613.384548,1421933982,1421933982,23.738333,17.772272,0.058674,0.010229,0.048445,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931043,1421931043,0.008,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,3,3,3,3,3,Generic,1
59.166.0.4,35869,149.171.126.2,33978,tcp,FIN,0.014908,2646,24004,31,29,7,15,-,1386101.375,12588677.0,42,44,255,255,3164748202,1028722126,63,546,0,0,0.0,21.990399,1421939288,1421939288,0.355732,0.333721,0.000689,0.000555,0.000134,0,0,0,0,0,8,12,2,6,1,1,1,,0
175.45.176.1,0,149.171.126.12,0,ipv6,INT,1.1e-05,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930677,1421930677,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,23,18,4,6,4,4,4, Fuzzers,1
175.45.176.3,61719,149.171.126.10,1723,tcp,FIN,0.392008,756,268,254,252,2,1,-,13897.67578,4571.334961,10,6,255,255,214331376,1092377322,76,45,0,0,2185.144387,100.786563,1421931543,1421931544,40.668,65.868203,0.099001,0.062664,0.036337,0,1,0,0,0,3,6,2,2,2,1,2, Fuzzers,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932392,1421932392,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,2,2,2,2,2,Generic,1
59.166.0.9,28253,149.171.126.0,55975,udp,CON,0.002707,536,304,31,29,0,0,-,1188031.125,673808.6875,4,4,0,0,0,0,134,76,0,0,1.05972,0.795496,1421933725,1421933725,0.756333,0.566,0.0,0.0,0.0,0,0,0,0,0,11,10,7,4,1,1,3,,0
59.166.0.9,35419,149.171.126.4,6881,tcp,FIN,4.890951,17644,757750,31,29,28,271,-,28768.22852,1237367.5,310,600,255,255,3439079666,3440157404,57,1263,0,0,5706.096171,4098.242141,1421933122,1421933127,15.827236,8.164429,0.000576,0.000454,0.000122,0,0,0,0,0,7,7,3,3,1,1,1,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,2e-06,114,0,254,0,0,0,dns,228000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932426,1421932426,0.002,0.0,0.0,0.0,0.0,0,2,0,0,0,18,18,7,8,7,3,7,Generic,1
